Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,type,district,area_comfort
30970.0,1.0,1106.0,12.0,13.0,2013.0,28.0,13.0,5.0,Петропавлівська,площа,Оболонський,10.0
30970.0,1.0,1106.0,12.0,13.0,2013.0,28.0,13.0,5.0,Петропавлівська,вулиця,Подільський,10.0
30970.0,1.0,1106.0,12.0,13.0,2013.0,28.0,13.0,5.0,Петропавлівська,площа,Оболонський,10.0
30970.0,1.0,1106.0,12.0,13.0,2013.0,28.0,13.0,5.0,Петропавлівська,вулиця,Подільський,10.0
30970.0,1.0,1106.0,12.0,13.0,2013.0,28.0,13.0,5.0,Петропавлівська,площа,Оболонський,10.0
30970.0,1.0,1106.0,12.0,13.0,2013.0,28.0,13.0,5.0,Петропавлівська,вулиця,Подільський,10.0
82000.0,2.0,1281.0,18.0,26.0,2010.0,64.0,37.0,14.0,Дніпровська,вулиця,Оболонський,13.0
135000.0,2.0,2077.0,16.0,23.0,2012.0,65.0,25.0,18.0,Дніпровська,вулиця,Оболонський,22.0
84000.0,2.0,1273.0,6.0,26.0,2010.0,66.0,37.0,18.0,Дніпровська,вулиця,Оболонський,11.0
82000.0,2.0,1281.0,18.0,26.0,2010.0,64.0,37.0,14.0,Дніпровська,вулиця,Оболонський,13.0
135000.0,2.0,2077.0,16.0,23.0,2012.0,65.0,25.0,18.0,Дніпровська,вулиця,Оболонський,22.0
84000.0,2.0,1273.0,6.0,26.0,2010.0,66.0,37.0,18.0,Дніпровська,вулиця,Оболонський,11.0
42654.8,1.0,1375.9,8.0,19.0,2010.0,31.0,37.0,14.0,Дніпровська,вулиця,Оболонський,-20.0
60000.0,1.0,1463.0,2.0,26.0,2010.0,41.0,37.0,14.0,Дніпровська,вулиця,Оболонський,-10.0
900000.0,4.0,3600.0,23.0,24.0,2012.0,250.0,37.0,14.0,Дніпровська,вулиця,Оболонський,199.0
85000.0,2.0,1328.0,4.0,24.0,2010.0,64.0,30.0,20.0,Дніпровська,вулиця,Оболонський,14.0
117000.0,3.0,1401.0,14.0,26.0,2010.0,68.5,37.0,14.0,Дніпровська,вулиця,Оболонський,17.5
135000.0,1.0,1552.0,15.0,22.0,2012.0,87.0,15.0,40.0,Дніпровська,вулиця,Оболонський,32.0
100000.0,2.0,1408.0,15.0,23.0,2007.0,71.0,30.0,12.0,Дніпровська,вулиця,Оболонський,29.0
85000.0,1.0,1545.0,6.0,25.0,2007.0,55.0,24.0,13.0,Дніпровська,вулиця,Оболонський,18.0
85000.0,2.0,1328.0,4.0,24.0,2010.0,64.0,30.0,20.0,Дніпровська,вулиця,Оболонський,14.0
210000.0,2.0,2442.0,9.0,23.0,2012.0,86.0,42.0,21.0,Дніпровська,вулиця,Оболонський,23.0
